E(MeV)  pendfb7/Si30:2
0.645020785  6.12727117
0.645042908  6.58246528
0.645065031  7.08426817
0.645087153  7.62678415
0.64513542  8.87842295
0.645161565  9.51722997
0.645176649  9.84137145
0.645191732  10.1164267
0.645206816  10.3298809
0.6452219  10.4712062
0.645240804  10.535666
0.645253073  10.5079437
0.645268157  10.4003267
0.645283241  10.2171918
0.64530838  9.77070322
0.645328491  9.31945608
0.645392847  7.6750407
0.64541497  7.13275609
0.645437093  6.6303124
0.645459216  6.17388402
0.645481338  5.7648411
0.645500193  5.45239284
0.645519048  5.17112705
0.645537902  4.91856466
0.645556757  4.69201997
0.645575612  4.48886795
0.645594466  4.30661156
0.645619606  4.09211728
0.645644745  3.90581997
0.645669884  3.74353032
0.645695023  3.60162605
0.645720163  3.47699056
0.645757872  3.31697193
0.645795581  3.18342143
0.64583329  3.07109821
0.645870999  2.97589485
0.645908708  2.89460642
0.645958987  2.80359947
0.646009266  2.72836022
0.646084683  2.63791351
0.646160102  2.56743551
0.64623552  2.51152313
0.646346133  2.44845912
0.646466802  2.39730759
0.646587471  2.35881434
0.646768474  2.31677198
0.647009812  2.27900375
0.647371819  2.24403401
0.647854495  2.21741787
0.648558398  2.19674771
0.649915924  2.17864799
0.653083485  2.16346361
0.667161535  2.13953292
0.690282345  2.12014415
0.69770217  2.12689728
0.700458105  2.13953995
0.701730075  2.1564932
0.702408459  2.17682676
0.70279005  2.19741689
0.703044444  2.21859657
0.703298838  2.25044551
0.703489634  2.28621321
0.703616831  2.31918802
0.703744028  2.36327175
0.703860625  2.41794966
0.703940124  2.46667535
0.704019621  2.52835849
0.70409912  2.60787852
0.704152119  2.67427857
0.704205117  2.75484765
0.704258116  2.85373725
0.704297865  2.94327478
0.704337614  3.04945554
0.704377364  3.17636981
0.704417112  3.32922453
0.704443611  3.44883224
